RECORD NUMBER,TWEET,SENTIMENT,SENTIMENT RATING(-1 to +1)
1,RT @BDUTT: How many of her colleagues stood with @deepikapadukone - and vocally- when she most needed it? My @htTweets column argues that #…,Positive,0.5
3,RT @BDUTT: Those calling Karni Goons 'Fringe'; how disingenuous! Could this lawlessness be possible if the state governments were ready to…,Positive,0.1
4,"@RanveerOfficial Watched Padmavaat, Khilji is far better than iconic characters like Mokambo,Shakaal and Gabbar com… https://t.co/Z7sI9gBoId",Positive,0.3666666666666667
5,RT @sardesairajdeep: Karni Sena is doing what any terrorist group does; spread terror and violence. The real shame are the craven state gov…,Positive,0.2
6,RT @shahana_y: Just watched #Padmavaat. STOP GIVING MONEY TO SANJAY LEELA BHANSALI. That film is TERRIBLE.,Negative,-1.0
7,"RT @IndianPolls8: Winner of #IPL2018? 
#IPLAuction #IPLAuction2018 #IPL2018Auction #ipl #CSK #MI #KKR #RCB #MSDhoni #INDvSA #RohitSharma #V…",Neutral,0.0
8,"RT @VishalChoradiya: On the unending Padmavaat embarrassment, @bdutt calls out the cowardice and lack of solidarity largely characteristic…",Positive,0.21428571428571427
9,RT @abhirao: Ticket rates for #Padmavat tripled 120rs tickets at 360rs nd then they say #BoxOffice colctn is going great!Whatta marketing!!…,Neutral,0.0
10,"RT @AnkitM03: Deepika Padukone Exposes Her Mid-Riff In Ghoomar Song.. 
- People Raise Their Voice
- Call For Bharat Bandh
- Want To Chop Of…",Neutral,0.0
11,RT @abhirao: Ticket rates for #Padmavat tripled 120rs tickets at 360rs nd then they say #BoxOffice colctn is going great!Whatta marketing!!…,Neutral,0.0
12,@SudarshanNewsTV Itne virod ke bad bhi #Padmavaat kyu chalai gai,Negative,-0.6999999999999998
13,#KarniSenaExposed they did very bad #Violence in entire #India backed #BJP https://t.co/NABMttSnM1 seeing that… https://t.co/hpejrrH7Mg,Negative,-0.4549999999999999
14,"RT @TrueIndology: Does the film #Padmavaat show Khilji destroying temples, abducting and castrating slaves, spitting into mouths of Hindus,…",Negative,-0.2
15,"I am so impressed with #Padmavaat performances were outstanding @RanveerOfficial fantastic, but for me… https://t.co/E0flmb7okM",Positive,0.6333333333333333
16,RT @dbd72cbe15b84f1: This is very bad. I was surprised such a famous theatre charges more than govt stipulated. Unbearable for true cinema…,Positive,0.09000000000000002
17,RT @ShahidWebsite: Article: Sanjay Leela Bhansali's magnum opus Padmaavat has finally hit the screens and @ShahidKapoor was seen in role of…,Neutral,0.0
18,"RT @boxofficedetail: #Padmaavat Put Boxoffice On Fire In Pakistan.. Hosueful at most places across Pakistan!! 

CONGRATS to whole team of P…",Positive,0.490625
20,RT @PplOfIndia: On what ground should RG be given a front row seat? He doesn't even qualify as LoP with just 44 seats. Let him watch #Padma…,Neutral,0.0
22,"@seemantinibose Ohh...I think ""#Padmavaat "" also :P",Positive,0.75
23,RT @abhirao: Ticket rates for #Padmavat tripled 120rs tickets at 360rs nd then they say #BoxOffice colctn is going great!Whatta marketing!!…,Neutral,0.0
24,"RT @ZAbbasOfficial: Pakistan embracing #padmaavat. Don’t understand what the fuss was all about,#Padmavaat actually celebrates the pride of…",Neutral,0.0
25,"In S. leelas head, everything is poetic. That translates into the big screen.The stunning visuals, sets, the exagge… https://t.co/rD4ivvadUB",Positive,0.2916666666666667
26,"Finally #Padmavaat gets its due.

Huge collections yesterday as expected after a low thursday .

#KarniSena did spo… https://t.co/mG7JqNl9H6",Positive,0.03500000000000002
29,Your view on #Padmavaat,Neutral,0.0
30,RT @abhirao: Ticket rates for #Padmavat tripled 120rs tickets at 360rs nd then they say #BoxOffice colctn is going great!Whatta marketing!!…,Neutral,0.0
